                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.32846,                0.64331,                0.50232,                 0.7564,                0.73548,                0.71254,                0.36482,                 0.4378,                0.67682,                0.79924,                 0.0001,                 0.0001,                 0.0001
                     64,                0.31167,                0.67918,                0.47945,                 0.7682,                 0.7501,                0.74574,                0.47878,                0.34165,                 0.6537,                0.56332,                 0.0001,                 0.0001,                 0.0001
                     65,                0.32718,                0.63376,                0.49612,                0.74611,                0.79446,                0.74117,                0.42984,                0.37169,                0.68772,                 0.6339,                 0.0001,                 0.0001,                 0.0001
                     66,                0.30894,                0.61984,                0.47675,                0.77752,                0.76908,                0.73652,                0.42755,                0.36772,                0.65179,                0.63128,                 0.0001,                 0.0001,                 0.0001
                     67,                0.31471,                0.61968,                0.49328,                0.80774,                0.67427,                0.68433,                0.41975,                0.35589,                0.72755,                0.60643,                 0.0001,                 0.0001,                 0.0001
                     68,                0.31585,                0.61836,                0.49464,                0.71061,                0.73973,                0.65561,                0.41297,                0.33673,                0.73121,                0.55929,                 0.0001,                 0.0001,                 0.0001
                     69,                0.30726,                0.66486,                0.47425,                0.68431,                0.65723,                0.62903,                0.39415,                0.33873,                0.74976,                 0.5592,                 0.0001,                 0.0001,                 0.0001
                     70,                 0.3234,                0.60779,                0.49811,                  0.722,                0.70481,                0.62493,                0.37012,                0.35076,                0.76611,                0.59526,                 0.0001,                 0.0001,                 0.0001
                     71,                0.31169,                0.62917,                0.47733,                0.67701,                0.61529,                0.59845,                0.31366,                0.46817,                0.70002,                0.89064,                 0.0001,                 0.0001,                 0.0001
                     72,                0.30716,                0.61135,                0.46642,                0.77391,                0.83673,                0.75733,                0.46864,                0.33752,                0.67614,                0.54925,                 0.0001,                 0.0001,                 0.0001
                     73,                0.30197,                0.61906,                0.46481,                0.80404,                0.84932,                0.78161,                0.48161,                0.34068,                0.64676,                0.56501,                 0.0001,                 0.0001,                 0.0001
                     74,                 0.3094,                0.58398,                0.47287,                0.79488,                0.73087,                 0.7146,                0.45034,                0.35124,                0.65765,                0.58818,                 0.0001,                 0.0001,                 0.0001
