                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.32062,                0.87942,                0.48972,                0.49604,                0.62605,                0.47138,                0.29012,                0.37543,                 1.0472,                0.60688,                 0.0001,                 0.0001,                 0.0001
                     49,                0.32901,                0.88786,                 0.4877,                0.52577,                0.59648,                0.46663,                0.31492,                0.33373,                  1.095,                0.50625,                 0.0001,                 0.0001,                 0.0001
                     50,                0.31763,                0.95422,                0.46986,                0.59584,                0.55803,                0.55688,                0.37318,                0.30948,                 1.0364,                0.48605,                 0.0001,                 0.0001,                 0.0001
                     51,                0.31729,                  0.843,                0.47206,                 0.6425,                0.64058,                0.55248,                0.37546,                0.32922,                0.91397,                0.51971,                 0.0001,                 0.0001,                 0.0001
                     52,                0.32506,                0.85703,                0.48994,                0.73067,                0.68409,                0.65711,                0.44259,                0.32909,                0.86659,                0.50868,                 0.0001,                 0.0001,                 0.0001
                     53,                0.32574,                 0.7748,                0.48614,                0.60749,                0.69838,                0.60678,                0.40517,                0.32673,                0.92152,                0.50482,                 0.0001,                 0.0001,                 0.0001
                     54,                 0.3113,                0.81187,                0.47751,                0.55171,                0.66609,                0.52812,                0.36323,                0.33379,                0.88803,                0.54013,                 0.0001,                 0.0001,                 0.0001
                     55,                0.30943,                0.78828,                0.47291,                0.55659,                 0.6596,                0.50876,                0.35367,                0.32334,                0.94347,                0.50165,                 0.0001,                 0.0001,                 0.0001
                     56,                0.31173,                0.76552,                0.46672,                0.70772,                0.62001,                0.58471,                0.43416,                0.28306,                0.85257,                 0.4373,                 0.0001,                 0.0001,                 0.0001
                     57,                0.31343,                0.74916,                0.47685,                 0.7197,                 0.6817,                0.67676,                 0.4707,                0.32317,                0.80774,                0.52007,                 0.0001,                 0.0001,                 0.0001
                     58,                0.29743,                0.78429,                0.44774,                0.67876,                 0.5712,                0.54172,                0.37264,                0.31773,                  1.049,                0.49441,                 0.0001,                 0.0001,                 0.0001
                     59,                0.29789,                0.71735,                0.44052,                0.75195,                0.58481,                0.63914,                0.46156,                0.29004,                0.86453,                0.44933,                 0.0001,                 0.0001,                 0.0001
                     60,                0.32193,                0.67463,                 0.4831,                0.73331,                0.63265,                0.65757,                0.46631,                0.28724,                0.88924,                0.45889,                 0.0001,                 0.0001,                 0.0001
                     61,                0.30611,                0.74205,                0.47406,                0.74048,                0.70635,                0.71271,                0.50432,                0.31243,                0.74779,                0.49635,                 0.0001,                 0.0001,                 0.0001
                     62,                0.29094,                0.71399,                0.44042,                0.77523,                  0.705,                0.74207,                0.51236,                0.33197,                0.77565,                 0.5019,                 0.0001,                 0.0001,                 0.0001
                     63,                0.31394,                0.69269,                0.48047,                0.68495,                0.73085,                 0.7003,                0.50472,                 0.2986,                0.80395,                 0.4786,                 0.0001,                 0.0001,                 0.0001
                     64,                0.30284,                0.67217,                0.45722,                0.77767,                 0.7188,                0.70841,                0.51106,                0.30227,                0.72497,                0.47502,                 0.0001,                 0.0001,                 0.0001
                     65,                0.29683,                0.65093,                0.45058,                0.80344,                0.73626,                0.75371,                0.51336,                0.32476,                0.74772,                0.51989,                 0.0001,                 0.0001,                 0.0001
                     66,                0.29681,                0.62956,                0.44432,                0.77932,                0.78462,                0.75447,                0.50268,                0.35579,                  0.749,                 0.5635,                 0.0001,                 0.0001,                 0.0001
                     67,                0.28769,                0.61994,                0.43608,                0.81755,                0.71583,                0.77784,                 0.5676,                0.29126,                0.74957,                0.45236,                 0.0001,                 0.0001,                 0.0001
                     68,                0.29018,                0.64593,                 0.4377,                0.73341,                0.73073,                0.72063,                0.52044,                0.29955,                0.78172,                0.46853,                 0.0001,                 0.0001,                 0.0001
                     69,                0.28825,                0.60797,                 0.4343,                0.79946,                0.79201,                0.78176,                0.57255,                0.29098,                0.64838,                0.46123,                 0.0001,                 0.0001,                 0.0001
                     70,                0.28222,                0.60767,                0.43387,                0.81411,                0.62185,                0.69662,                0.47089,                0.33311,                0.82671,                0.54804,                 0.0001,                 0.0001,                 0.0001
                     71,                0.28989,                0.59057,                0.43565,                 0.8026,                0.76145,                  0.795,                0.55302,                0.32213,                0.67595,                0.51377,                 0.0001,                 0.0001,                 0.0001
                     72,                0.28744,                0.62878,                0.42771,                0.75378,                0.68489,                0.72116,                0.51908,                0.30556,                0.78919,                0.48084,                 0.0001,                 0.0001,                 0.0001
                     73,                0.28864,                0.62741,                0.43178,                0.80427,                 0.7239,                0.75998,                0.54703,                 0.3191,                0.75855,                0.50267,                 0.0001,                 0.0001,                 0.0001
                     74,                0.28451,                0.59519,                0.43251,                0.73108,                0.73161,                0.71047,                0.52371,                0.28558,                0.85583,                0.44613,                 0.0001,                 0.0001,                 0.0001
                     75,                0.28372,                0.58266,                0.42529,                0.79254,                0.75924,                0.77688,                0.56263,                0.28802,                0.74143,                0.46152,                 0.0001,                 0.0001,                 0.0001
                     76,                 0.2862,                0.58701,                0.43956,                 0.7863,                0.69411,                0.73772,                0.52711,                0.29509,                0.74059,                0.46686,                 0.0001,                 0.0001,                 0.0001
                     77,                0.26842,                0.56979,                0.41033,                  0.843,                0.82007,                0.82121,                0.60734,                0.27428,                0.69673,                0.42911,                 0.0001,                 0.0001,                 0.0001
                     78,                0.28439,                0.59578,                0.42473,                0.77412,                0.70103,                0.70914,                0.52543,                0.30485,                0.75778,                0.47373,                 0.0001,                 0.0001,                 0.0001
                     79,                0.27747,                0.56813,                0.40808,                0.73958,                0.73497,                0.70005,                0.50808,                0.30212,                 0.7804,                0.47985,                 0.0001,                 0.0001,                 0.0001
                     80,                0.28045,                0.58131,                0.42038,                0.79897,                 0.7891,                 0.7872,                0.56556,                0.29486,                0.67285,                 0.4635,                 0.0001,                 0.0001,                 0.0001
                     81,                 0.2822,                0.53436,                0.42414,                0.86029,                0.69961,                 0.7627,                0.55116,                0.31032,                   0.72,                0.50314,                 0.0001,                 0.0001,                 0.0001
                     82,                0.27842,                0.55555,                 0.4285,                 0.7738,                0.68495,                0.65968,                0.47512,                0.30942,                0.80034,                0.48233,                 0.0001,                 0.0001,                 0.0001
