                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                0.25555,                0.46389,                0.37977,                0.82591,                0.82441,                0.79145,                0.49154,                0.35059,                0.59719,                0.58519,                 0.0001,                 0.0001,                 0.0001
                    114,                0.25797,                0.45502,                0.38239,                0.83424,                 0.8385,                 0.7976,                0.44399,                0.42018,                0.60789,                0.77237,                 0.0001,                 0.0001,                 0.0001
                    115,                0.25566,                0.44317,                0.38924,                0.82941,                0.82053,                0.79491,                0.51463,                0.33914,                0.55993,                0.56195,                 0.0001,                 0.0001,                 0.0001
                    116,                0.25055,                0.42974,                0.37846,                0.85239,                0.86839,                0.83999,                0.46614,                0.40048,                0.59672,                0.70873,                 0.0001,                 0.0001,                 0.0001
                    117,                0.24522,                0.41844,                0.37234,                0.80249,                 0.8271,                0.81172,                 0.5159,                 0.3472,                0.62397,                0.58337,                 0.0001,                 0.0001,                 0.0001
                    118,                0.25498,                0.43329,                0.38533,                0.80917,                0.76685,                0.73637,                0.42253,                0.40271,                0.66521,                0.72114,                 0.0001,                 0.0001,                 0.0001
                    119,                0.25329,                0.41662,                0.39582,                0.82429,                0.79484,                0.75826,                0.46118,                0.36835,                0.64525,                 0.6522,                 0.0001,                 0.0001,                 0.0001
                    120,                0.24983,                0.43438,                0.38968,                0.86146,                0.85283,                0.82637,                0.50563,                0.35964,                0.57416,                0.61045,                 0.0001,                 0.0001,                 0.0001
                    121,                0.24785,                0.45828,                0.36887,                0.81488,                0.80384,                 0.7807,                 0.4902,                0.34255,                0.60979,                0.59228,                 0.0001,                 0.0001,                 0.0001
                    122,                0.24913,                0.44031,                 0.3688,                0.81037,                0.82039,                0.79326,                 0.4904,                 0.3605,                0.59924,                0.62363,                 0.0001,                 0.0001,                 0.0001
                    123,                 0.2455,                0.41532,                0.36065,                0.78796,                0.74544,                 0.7165,                0.40766,                0.40523,                0.69282,                0.74888,                 0.0001,                 0.0001,                 0.0001
                    124,                0.24293,                0.40844,                0.37201,                0.88165,                0.84879,                0.84206,                0.52072,                0.35031,                 0.5694,                0.60248,                 0.0001,                 0.0001,                 0.0001
                    125,                0.24731,                0.45351,                0.37434,                0.82893,                0.78917,                0.78034,                0.46296,                0.37398,                0.62908,                0.65693,                 0.0001,                 0.0001,                 0.0001
                    126,                0.23391,                0.41913,                0.34284,                0.85986,                0.84713,                0.81592,                0.50726,                0.35333,                 0.5789,                0.61149,                 0.0001,                 0.0001,                 0.0001
                    127,                0.24774,                0.44083,                 0.3758,                0.78809,                0.78299,                0.76848,                0.47568,                 0.3562,                0.61084,                0.61109,                 0.0001,                 0.0001,                 0.0001
                    128,                0.23692,                0.40181,                0.35534,                0.82586,                0.77025,                 0.7834,                0.44725,                0.40078,                0.60739,                0.73703,                 0.0001,                 0.0001,                 0.0001
                    129,                0.24533,                0.38845,                0.36727,                0.86178,                0.83816,                0.83424,                0.51869,                0.36386,                0.58937,                0.63428,                 0.0001,                 0.0001,                 0.0001
                    130,                0.24257,                0.38888,                0.36642,                0.79671,                0.82335,                0.77994,                0.47149,                0.37448,                0.65619,                0.64833,                 0.0001,                 0.0001,                 0.0001
                    131,                0.23461,                0.42325,                0.33553,                0.82631,                0.83323,                0.79916,                0.49521,                0.36393,                0.60407,                0.62479,                 0.0001,                 0.0001,                 0.0001
                    132,                0.23457,                0.39873,                0.35931,                0.78725,                0.75996,                0.74369,                0.46767,                0.34012,                0.66985,                 0.5676,                 0.0001,                 0.0001,                 0.0001
                    133,                0.23162,                 0.3909,                0.34723,                0.79739,                0.82134,                0.77581,                0.43428,                0.39277,                0.68133,                0.70914,                 0.0001,                 0.0001,                 0.0001
                    134,                0.23294,                0.37746,                0.35524,                0.74778,                0.73479,                0.68186,                0.37933,                0.40152,                0.79998,                0.72619,                 0.0001,                 0.0001,                 0.0001
                    135,                0.24931,                0.40208,                0.36449,                0.82653,                0.82164,                0.78655,                0.49222,                0.35739,                0.61047,                0.60724,                 0.0001,                 0.0001,                 0.0001
                    136,                0.23055,                0.38432,                0.34591,                0.84444,                0.81481,                0.78288,                0.48753,                0.36218,                0.62752,                0.63153,                 0.0001,                 0.0001,                 0.0001
                    137,                0.23139,                0.39475,                0.35218,                0.82719,                0.80769,                0.77453,                0.46971,                0.35963,                0.64716,                0.62944,                 0.0001,                 0.0001,                 0.0001
                    138,                0.23738,                0.39709,                0.35417,                0.83594,                0.82595,                0.81253,                0.49307,                0.34924,                0.60208,                0.59646,                 0.0001,                 0.0001,                 0.0001
                    139,                 0.2338,                0.36582,                0.34957,                0.84464,                0.80144,                0.79861,                0.50496,                0.34245,                0.62067,                0.58174,                 0.0001,                 0.0001,                 0.0001
                    140,                0.22981,                0.39797,                 0.3377,                0.85733,                0.79474,                0.76435,                0.46866,                0.36202,                0.63299,                0.61703,                 0.0001,                 0.0001,                 0.0001
                    141,                0.22474,                0.41312,                0.33923,                0.81895,                0.78591,                0.74437,                0.44881,                0.35808,                0.73094,                  0.619,                 0.0001,                 0.0001,                 0.0001
                    142,                0.22964,                0.39613,                0.35258,                0.82983,                0.78813,                0.77208,                 0.4734,                0.36139,                0.64877,                0.61971,                 0.0001,                 0.0001,                 0.0001
                    143,                0.22994,                0.38824,                0.34633,                0.80276,                 0.8247,                0.79908,                0.49819,                0.34367,                0.62149,                0.57177,                 0.0001,                 0.0001,                 0.0001
                    144,                 0.2268,                0.40978,                0.33758,                0.84952,                0.84199,                0.80935,                0.50958,                0.34062,                0.62901,                0.57082,                 0.0001,                 0.0001,                 0.0001
                    145,                0.23281,                0.39115,                0.35173,                0.86424,                0.74705,                0.76755,                0.47377,                0.34895,                0.63691,                0.58563,                 0.0001,                 0.0001,                 0.0001
                    146,                0.23071,                0.37166,                0.34666,                0.83399,                 0.8154,                0.80249,                0.46923,                0.37371,                0.63395,                0.65458,                 0.0001,                 0.0001,                 0.0001
                    147,                0.23115,                0.37843,                0.34301,                0.82575,                0.84926,                0.80936,                0.50322,                0.34806,                0.63905,                0.58232,                 0.0001,                 0.0001,                 0.0001
                    148,                0.22422,                 0.3818,                0.32725,                0.83738,                0.85406,                0.80352,                0.52384,                0.33127,                0.63385,                0.55507,                 0.0001,                 0.0001,                 0.0001
                    149,                0.22102,                0.38163,                0.32628,                0.82239,                0.84901,                0.78588,                0.50168,                0.33745,                0.63554,                0.57131,                 0.0001,                 0.0001,                 0.0001
                    150,                0.22483,                0.38746,                0.33011,                0.81061,                0.80741,                0.76964,                0.49506,                0.33454,                0.62557,                0.56059,                 0.0001,                 0.0001,                 0.0001
                    151,                0.22227,                  0.377,                0.33721,                0.78495,                0.80904,                0.77823,                0.48477,                0.34574,                0.66787,                0.59327,                 0.0001,                 0.0001,                 0.0001
                    152,                0.22604,                0.36277,                0.33557,                0.84583,                0.83965,                0.81527,                0.50899,                0.35077,                0.60805,                0.60424,                 0.0001,                 0.0001,                 0.0001
                    153,                 0.2266,                0.37168,                0.33485,                0.83785,                0.81935,                 0.7874,                0.46059,                0.37488,                0.63437,                0.67139,                 0.0001,                 0.0001,                 0.0001
                    154,                 0.2141,                0.37176,                0.31202,                0.85511,                0.74194,                0.74579,                0.44273,                0.36878,                0.68128,                0.65436,                 0.0001,                 0.0001,                 0.0001
                    155,                 0.2193,                0.35267,                 0.3242,                0.78405,                0.75989,                0.73777,                0.43406,                0.36807,                0.71059,                 0.6369,                 0.0001,                 0.0001,                 0.0001
                    156,                0.22315,                0.36595,                0.32009,                0.81586,                0.82225,                0.76271,                0.46358,                0.36223,                 0.6967,                0.62308,                 0.0001,                 0.0001,                 0.0001
